"","X","Species","subspecies","Mig_Sed","HowAssignedMig_Sed","Specimen..","Mass","Measurer","Collection","Collection.Year","Collection.Month","Collection.Day","Country","State.province","County.District","Locality","Elevation","Latitude","Longitude","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Age","Sex","Kipp.s.Index","tip.label"
"619",636,"Tyrannus_forficatus","","migratory","taxonomy","47161",NA,"MM","Royal Ontario Museum","1885",4,"7","United States of America","Texas","Bexar County","Losoya","",29.23357,-98.4564,NA,7.355,6.115,18.86,47.14,120.57,250.415,"Adult","Male",39.0976196400431,"Tyrannus_forficatus"
"620",637,"Tyrannus_forficatus","","migratory","taxonomy","47162",NA,"MM","Royal Ontario Museum","1892",4,"11","United States of America","Texas","Cameron County","Brownsville","",25.99381,-97.4486,14.185,7.8,6.545,19.145,48.65,122.52,204.809,"Adult","Male",39.7078028077049,"Tyrannus_forficatus"
"621",638,"Tyrannus_forficatus","","migratory","taxonomy","47163",NA,"MM","Royal Ontario Museum","1891",10,"22","United States of America","Texas","Cameron County","","",26.12658,-97.5063,14.265,7.105,6.215,19.58,51.62,125.045,246.934,"Adult","Male",41.2811387900356,"Tyrannus_forficatus"
"622",639,"Tyrannus_forficatus","","migratory","taxonomy","47164",NA,"MM","Royal Ontario Museum","1891",10,"23","United States of America","Texas","Cameron County","","",26.12658,-97.5063,NA,7.525,6.27,19.09,46.225,122.53,225.545,"Adult","Male",37.7254549906145,"Tyrannus_forficatus"
"623",640,"Tyrannus_forficatus","","migratory","taxonomy","47165",NA,"MM","Royal Ontario Museum","1891",10,"23","United States of America","Texas","Cameron County","","",26.12658,-97.5063,13.53,6.935,NA,18.13,51.075,127.255,264.604,"Adult","Male",40.1359475069742,"Tyrannus_forficatus"
"624",641,"Tyrannus_forficatus","","migratory","taxonomy","47166",NA,"MM","Royal Ontario Museum","1891",10,"26","United States of America","Texas","Cameron County","","",26.12658,-97.5063,14.85,7.35,6.33,19.65,51.755,129.99,256.823,"Adult","Male",39.8146011231633,"Tyrannus_forficatus"
"625",642,"Tyrannus_forficatus","","migratory","taxonomy","47167",NA,"MM","Royal Ontario Museum","1891",10,"27","United States of America","Texas","Cameron County","","",26.12658,-97.5063,13.575,7.6,NA,19.02,46.345,120,212.704,"Adult","Male",38.6208333333333,"Tyrannus_forficatus"
"627",644,"Tyrannus_forficatus","","migratory","taxonomy","47169",NA,"MM","Royal Ontario Museum","1895",12,"1","Costa Rica","Guacaste Province","Bagaces","","",10.52583,-85.2537,12.85,7.695,6.155,18.74,48.9,125.365,236.5284,"Adult","Male",39.0061021816296,"Tyrannus_forficatus"
"637",654,"Tyrannus_savana","monachus CA","sedentary","taxonomy","47179",NA,"MM","Royal Ontario Museum","1896",NA,"","Costa Rica","Cartago Province","Azahar de Cartago","4.5 mi SW Cartago","",9.820372,9.866667,10.36,6.515,4.905,16.99,36.31,102.225,240.726,"Adult","Male",35.5196869650281,"Tyrannus_savana_monachus_CA"
"638",655,"Tyrannus_savana","savana","migratory","taxonomy","47180",NA,"MM","Royal Ontario Museum","",NA,"","Venezuela","","","Caracas","",10.476,-66.983,11.77,6.26,5.44,18.25,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_savana"
"639",656,"Tyrannus_savana","monachus CA","sedentary","taxonomy","47181",NA,"MM","Royal Ontario Museum","1898",7,"","Costa Rica","San Jose Province","","vicinity de San Jose","",9.93402,9.93461,11.755,6.915,NA,18.11,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_CA"
"640",657,"Tyrannus_savana","monachus CA","sedentary","taxonomy","47182",NA,"MM","Royal Ontario Museum","1889",1,"18","Pama","Cocle Province","","between ta and Cocle","",8.702747,-80.4535,11.77,6.285,5.105,16.475,32.65,103.15,NA,"Adult","Male",31.6529326223946,"Tyrannus_savana_monachus_CA"
"641",658,"Tyrannus_savana","monachus CA","sedentary","taxonomy","47183",NA,"MM","Royal Ontario Museum","1896",NA,"","Costa Rica","Cartago Province","Azahar de Cartago","4.5 mi SW Cartago","",9.820372,9.866667,10.155,6.15,4.805,17.595,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_CA"
"642",659,"Tyrannus_savana","monachus CA","sedentary","taxonomy","47184",NA,"MM","Royal Ontario Museum","1905",2,"27","Nicaragua","North Caribbean Coast Autonomous Region","Sacklin","50 mi up Rio Wanks, above Cape Yacaius (something)","200 feet",14.83843,-83.7227,10.74,6.205,5.375,17.145,32.785,99.02,308.827,"Adult","Male",33.109472833771,"Tyrannus_savana_monachus_CA"
"643",660,"Tyrannus_savana","monachus CA","sedentary","taxonomy","47185",NA,"MM","Royal Ontario Museum","1887",6,"","Mexico","Yucatan","","Yucatan","",20.6484,-88.8022,10.905,NA,NA,17.92,35.47,111.575,288.189,"Adult","Male",31.7902755993726,"Tyrannus_savana_monachus_CA"
"644",661,"Tyrannus_savana","savana","migratory","taxonomy","47186",NA,"MM","Royal Ontario Museum","",NA,"","Brazil","Espirito Santo","","Vitoria State at San Paulo","570m",-20.3279,-49,11.015,6.365,5.36,17.305,40.045,110.31,267.508,"Adult","Male",36.3022391442299,"Tyrannus_savana_savana"
"645",662,"Tyrannus_savana","monachus CA","sedentary","taxonomy","47187",NA,"MM","Royal Ontario Museum","1898",9,"18","Costa Rica","San Jose Province","","vicinity de San Jose","",9.93402,9.93461,11.265,6.45,5.13,16.215,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_CA"
"646",663,"Tyrannus_savana","monachus CA","sedentary","taxonomy","47188",NA,"MM","Royal Ontario Museum","1895",9,"30","Costa Rica","Guacaste Province","","Miravalles","",9.413013,9.41333,11.005,6.36,5.355,17.74,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_CA"
"647",664,"Tyrannus_savana","savana","migratory","taxonomy","47189",NA,"MM","Royal Ontario Museum","",NA,"","Brazil","Matto Grasso","","Chapada","",-15.4563,-47.6333,11.66,6.725,5.335,16.66,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_savana"
"648",665,"Tyrannus_savana","monachus SA","sedentary","taxonomy","47190",NA,"MM","Royal Ontario Museum","1904",10,"7","Colombia","Bogota Capital District","","Bogota","3500 feet",4.711283,-74.0726,11.97,6.605,5.21,16.24,33.455,103.055,230.169,"Adult","Male",32.4632477803115,"Tyrannus_savana_monachus_SA"
"650",667,"Tyrannus_savana","monachus SA","sedentary","taxonomy","47192",NA,"MM","Royal Ontario Museum","1904",12,"18","Colombia","Bogota Capital District","","Bogota","3500 feet",4.711283,-74.0726,11.2,6.385,5.425,17.265,34.02,105.725,274.042,"Adult","Male",32.1778198155592,"Tyrannus_savana_monachus_SA"
"663",682,"Tyrannus_vociferans","vociferans","partial","taxonomy","47222",NA,"MM","Royal Ontario Museum","1884",6,"30","United States of America","Arizona","Santa Cruz County","Santa Rita Mountains","",31.72029,-110.775,15.115,8.625,7.395,19.73,40.705,128.315,86.82,"Adult","Male",31.7227136344153,"Tyrannus_vociferans_vociferans"
"664",684,"Tyrannus_vociferans","vociferans","partial","taxonomy","47224",NA,"MM","Royal Ontario Museum","1950",3,"4","United States of America","California","San Luis Obispo County","7 mi E Shandon, San Juan Valley","",35.65518,-120.25,15.45,8.55,6.875,20.38,42.47,134.01,90.03,"Adult","Male",31.6916648011342,"Tyrannus_vociferans_vociferans"
"667",687,"Tyrannus_verticalis","","migratory","taxonomy","47227",NA,"MM","Royal Ontario Museum","1892",3,"6","United States of America","California","Yuba County","Marysville","",39.15369,-121.576,13.355,7.61,6.72,20.545,38.68,125.25,90.77,"Adult","Male",30.8822355289421,"Tyrannus_verticalis"
"668",688,"Tyrannus_verticalis","","migratory","taxonomy","47228",NA,"MM","Royal Ontario Museum","1891",4,"14","United States of America","California","Lake County","Lakeport","",39.0435,-122.924,13.81,7.67,NA,19.09,39.815,124.455,88.3,"Adult","Male",31.9914828652927,"Tyrannus_verticalis"
"669",689,"Tyrannus_verticalis","","migratory","taxonomy","47229",NA,"MM","Royal Ontario Museum","1900",4,"14","United States of America","California","Los Angeles County","Los Angeles","",34.03206,-118.302,12.18,7.125,6.33,18.035,43.98,125.82,83.89,"Adult","Male",34.9546971864568,"Tyrannus_verticalis"
"670",690,"Tyrannus_verticalis","","migratory","taxonomy","47230",NA,"MM","Royal Ontario Museum","1891",4,"15","United States of America","California","Lake County","Lakeport","",39.0435,-122.924,13.985,8.14,6.68,18.62,40.825,125.46,91.07,"Adult","Male",32.540251873107,"Tyrannus_verticalis"
"671",691,"Tyrannus_verticalis","","migratory","taxonomy","47231",NA,"MM","Royal Ontario Museum","1891",4,"17","United States of America","California","Lake County","Lakeport","",39.0435,-122.924,14,7.865,6.75,18.98,41.74,125.075,87.4,"Adult","Male",33.3719768139117,"Tyrannus_verticalis"
"672",692,"Tyrannus_verticalis","","migratory","taxonomy","47232",NA,"MM","Royal Ontario Museum","1891",4,"22","United States of America","California","Lake County","Lakeport","",39.0435,-122.924,12.745,7.605,6.835,19.31,42.54,127.44,84.36,"Adult","Male",33.3804143126177,"Tyrannus_verticalis"
"673",693,"Tyrannus_verticalis","","migratory","taxonomy","47233",NA,"MM","Royal Ontario Museum","1891",4,"22","United States of America","California","Lake County","Lakeport","",39.0435,-122.924,14.115,NA,NA,19.26,44.215,129.98,92.33,"Adult","Male",34.0167718110479,"Tyrannus_verticalis"
"674",694,"Tyrannus_verticalis","","migratory","taxonomy","47234",NA,"MM","Royal Ontario Museum","1891",5,"12","United States of America","California","Lake County","Lakeport","",39.0435,-122.924,14.12,NA,NA,20.145,43.7,130.62,93.06,"Adult","Male",33.4558260603277,"Tyrannus_verticalis"
"675",695,"Tyrannus_verticalis","","migratory","taxonomy","47235",NA,"MM","Royal Ontario Museum","1893",5,"17","United States of America","California","Lake County","Lakeport","",39.0435,-122.924,13.79,7.095,6.705,19.015,40.475,124.57,90.35,"Adult","Male",32.4917716946295,"Tyrannus_verticalis"
"676",696,"Tyrannus_verticalis","","migratory","taxonomy","47236",NA,"MM","Royal Ontario Museum","1891",5,"29","United States of America","California","Lake County","Lakeport","",39.0435,-122.924,13.57,7.61,6.46,19.42,43.26,123.61,91.76,"Adult","Male",34.9971685138743,"Tyrannus_verticalis"
"677",697,"Tyrannus_verticalis","","migratory","taxonomy","47237",NA,"MM","Royal Ontario Museum","1900",6,"6","United States of America","California","Los Angeles County","Ciega=?Cienega Canyon","",34.63777,-118.67,11.935,7.135,6.47,18.35,42.22,124.86,86.31,"Adult","Male",33.8138715361205,"Tyrannus_verticalis"
"678",698,"Tyrannus_verticalis","","migratory","taxonomy","47239",NA,"MM","Royal Ontario Museum","1892",6,"9","United States of America","California","Yuba County","Marysville","",39.15369,-121.576,13.01,7.515,6.315,20.14,41.83,121.58,87.69,"Adult","Male",34.4053298239842,"Tyrannus_verticalis"
"679",699,"Tyrannus_verticalis","","migratory","taxonomy","47240",NA,"MM","Royal Ontario Museum","1892",6,"9","United States of America","California","Yuba County","Marysville","",39.15369,-121.576,NA,7.15,6.33,19.145,41.4,122.59,85.3,"Adult","Male",33.7711069418386,"Tyrannus_verticalis"
"680",700,"Tyrannus_verticalis","","migratory","taxonomy","47241",NA,"MM","Royal Ontario Museum","1895",6,"9","United States of America","California","San Diego County","Volcan Mountains","",33.15595,-116.615,13.675,7.375,6.395,18.265,44.65,133.155,97.18,"Adult","Male",33.5323495174796,"Tyrannus_verticalis"
"681",701,"Tyrannus_verticalis","","migratory","taxonomy","47242",NA,"MM","Royal Ontario Museum","1892",6,"9","United States of America","California","Yuba County","Marysville","",39.15369,-121.576,13.53,7.83,6.29,18.345,40.995,124.6,90.54,"Adult","Male",32.9012841091493,"Tyrannus_verticalis"
"682",702,"Tyrannus_verticalis","","migratory","taxonomy","47243",NA,"MM","Royal Ontario Museum","1895",6,"19","United States of America","California","San Diego County","Witch Creek","",33.085,-116.721,13.435,8.235,6.62,18.655,44.075,131.31,96.66,"Adult","Male",33.5656081029625,"Tyrannus_verticalis"
"683",703,"Tyrannus_verticalis","","migratory","taxonomy","47244",NA,"MM","Royal Ontario Museum","1903",6,"27","United States of America","California","San Berrdino County","Fremont","",35.19163,-117.577,13.265,7.84,6.93,18.535,40.04,122.53,86.03,"Adult","Male",32.6777115808373,"Tyrannus_verticalis"
"685",705,"Tyrannus_verticalis","","migratory","taxonomy","47246",NA,"MM","Royal Ontario Museum","1895",7,"21","Canada","Alberta","Calgary Region","Calgary","",51.03449,-114.07,14.01,7.68,6.895,20.4,39.84,129.06,90.99,"Adult","Male",30.8693630869363,"Tyrannus_verticalis"
"691",711,"Tyrannus_verticalis","","migratory","taxonomy","47252",NA,"MM","Royal Ontario Museum","1874",6,"22","United States of America","Illinois","Union County","Big Muddy River","",37.56213,-89.4715,13.915,7.925,6.495,19.285,44.665,120.955,80.16,"Adult","Male",36.9269563060642,"Tyrannus_verticalis"
"698",718,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","47259",NA,"MM","Royal Ontario Museum","1922",10,"25","Bolivia","Santa Cruz Department","","Bue Vista","",-17.4596,-63.6614,16.97,9.77,7.585,18.175,33.35,115.125,93.93,"Adult","Male",28.9685124864278,"Tyrannus_melancholicus_melancholicus"
"699",719,"Tyrannus_melancholicus","melancholicus","partial","no location data","47260",NA,"MM","Royal Ontario Museum","1900",11,"3","Brazil","Sao Paulo","","Sao Sebastiao","",-23.7613,-45.4125,17.57,9.39,6.645,17.68,31.905,110.935,93.21,"Adult","Male",28.7600847343039,"Tyrannus_melancholicus_melancholicus"
"700",720,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","47261",NA,"MM","Royal Ontario Museum","1901",9,"9","Brazil","Sao Paulo","","Sao Sebastiao","",-23.7613,-45.4125,17.06,9.555,6.695,17.375,32.67,114.61,90.63,"Adult","Male",28.5053660239072,"Tyrannus_melancholicus_melancholicus"
"701",721,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","47262",NA,"MM","Royal Ontario Museum","1900",2,"28","Brazil","Sao Paulo","","Sao Sebastiao","",-23.7613,-45.4125,16.785,9.445,7.275,18.49,31.975,111.115,92.42,"Adult","Male",28.7764928227512,"Tyrannus_melancholicus_melancholicus"
"703",723,"Tyrannus_melancholicus","despotes","sedentary","taxonomy","47264",NA,"MM","Royal Ontario Museum","1870",NA,"","Brazil","Ceara","","Quixeramobim, Manituba","",-5.22225,-39.5731,NA,NA,NA,15.725,NA,NA,93.41,"Adult","Male",NA,"Tyrannus_melancholicus_despotes"
"712",732,"Tyrannus_melancholicus","satrapa","partial","taxonomy","47273",NA,"MM","Royal Ontario Museum","1987",NA,"","Mexico","","","Mexico","40m",15.73333,-96.2833,15.545,8.525,NA,19.385,30.6,112.34,90.4,"Adult","Male",27.2387395406801,"Tyrannus_melancholicus_satrapa"
"716",736,"Tyrannus_melancholicus","satrapa","partial","taxonomy","47277",NA,"MM","Royal Ontario Museum","1898",10,"11","Costa Rica","San JosÅ_","","Carillo","",9.864603,-85.4802,15.755,9.31,7.035,18.195,29.58,113.26,96.12,"Adult","Male",26.1168991700512,"Tyrannus_melancholicus_satrapa"
"721",741,"Tyrannus_couchii","","partial","taxonomy","47283",NA,"MM","Royal Ontario Museum","1904",2,"13","United States of America","Texas","Brownsville","","",25.99381,-97.4486,17.095,10.505,7.865,19.365,NA,NA,91.3,"Adult","Male",NA,"Tyrannus_couchii"
"723",743,"Tyrannus_couchii","","partial","taxonomy","47285",NA,"MM","Royal Ontario Museum","1888",10,"12","United States of America","Texas","Cameron County","","",26.12658,-97.5063,16.535,10.29,7.58,20.4,29.74,119.415,94.24,"Adult","Male",24.904743960139,"Tyrannus_couchii"
"724",744,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","47286",NA,"MM","Royal Ontario Museum","1908",5,"1","","","","","",19.22988,-69.6128,21.125,11.205,8.82,17.87,35.39,117.415,92.04,"Adult","Male",30.1409530298514,"Tyrannus_dominicensis_dominicensis"
"725",745,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","47287",NA,"MM","Royal Ontario Museum","",NA,"","Dominican Republic","Sama Province","Sanchez","","",19.2281,-69.6137,18.28,9.975,7.775,17.87,32.03,108.35,89.48,"Adult","Male",29.5616059067836,"Tyrannus_dominicensis_dominicensis"
"727",747,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","47291",NA,"MM","Royal Ontario Museum","",NA,"","Dominican Republic","La Vega Province","","Jarabacoa","",19.22207,-70.5292,19.89,10.99,8.21,18.93,31.63,111.15,NA,"Adult","Male",28.4570400359874,"Tyrannus_dominicensis_dominicensis"
"729",749,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","47298",NA,"MM","Royal Ontario Museum","",NA,"","Dominican Republic","Sama Prorvince","","Cayo Levantado","",19.1271,-69.2916,20.175,10.915,9.02,19.845,29.995,108.3,87.12,"Adult","Male",27.6962142197599,"Tyrannus_dominicensis_dominicensis"
"730",750,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","47299",NA,"MM","Royal Ontario Museum","",NA,"","Dominican Republic","La Vega Province","","Jarabacoa","",19.22207,-70.5292,20.14,10.315,8.66,17.69,31.805,107.31,NA,"Adult","Male",29.6384307147516,"Tyrannus_dominicensis_dominicensis"
"733",753,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","47305",NA,"MM","Royal Ontario Museum","",NA,"","United States of America","Florida","Miami-Dade County","Florida Keys, Monroe","",24.66709,-81.5831,21.2,11.35,9.495,19.655,34.575,115.245,NA,"Adult","Male",30.0013015749056,"Tyrannus_dominicensis_dominicensis"
"734",754,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","47306",NA,"MM","Royal Ontario Museum","1901",7,"3","Guadeloupe","Dominica Island (Leewards)","","","",16.34188,-61.358,22.985,13.01,NA,19.145,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_vorax"
"740",760,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","47312",47.3,"MM","Royal Ontario Museum","1904",3,"25","Montserrat","Antigua","","Saint Georges","",16.74958,-62.1932,21.4,12.025,8.63,18.23,31.69,113.84,NA,"Adult","Male",27.8373155305692,"Tyrannus_dominicensis_vorax"
"745",766,"Tyrannus_verticalis","","migratory","taxonomy","47328",NA,"MM","Royal Ontario Museum","1892",6,"9","","","","","",NA,NA,11.54,7.295,6.365,17.385,46.325,121.62,88.7,"Adult","Male",38.0899523104752,"Tyrannus_verticalis"
"749",770,"Tyrannus_tyrannus","","migratory","taxonomy","47452",NA,"Nacho","American Museum of tural History","1889",6,"5","Canada","British Columbia","","Mt. Lehman","",49.11667,-122.383,13.3,7.4,6,18.8,39.35,119,78,"Adult","Male",33.0672268907563,"Tyrannus_tyrannus"
"751",772,"Tyrannus_savana","monachus CA","sedentary","taxonomy","48322",NA,"MM","Louisiana State University Museum of tural Sciences","1965",6,"8","Costa Rica","Puntares","","2 miles west of Buenos Aires","",9.170589,-83.3655,10.42,6.42,4.99,17.1,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_CA"
"752",773,"Tyrannus_couchii","","partial","taxonomy","48676",NA,"MM","Louisiana State University Museum of tural Sciences","1965",10,"9","United States of America","Louisiana","Cameron","4.3 miles East town of Johnson's Bayou","",29.76455,-93.584,16.9,10.285,7.745,19.895,28.475,115.75,95.81,"Adult","Male",24.6004319654428,"Tyrannus_couchii"
"753",774,"Tyrannus_melancholicus","despotes","sedentary","taxonomy","48834",NA,"MM","The Field Museum","1913",11,"6","Brazil","Bahia","","Macaco Secco, near Andarai","",-13.35,-44.53,18.58,10.33,7.555,17.345,33.665,112.265,NA,"Adult","Male",29.9870841312965,"Tyrannus_melancholicus_despotes"
"755",776,"Tyrannus_melancholicus","despotes","sedentary","taxonomy","48837",NA,"MM","The Field Museum","1914",3,"26","Brazil","Bahia","","Sao Marcelo, Rio Preto","",-10.8167,-40.3167,16.19,9.435,7.2,17.87,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_despotes"
"757",778,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","48839",NA,"MM","The Field Museum","1914",5,"27","Peru","Junin","","San Ramon","884m",-6.01198,-78.4814,16.115,9.435,7.04,17.44,31.87,117.415,93.14,"Adult","Male",27.1430396457011,"Tyrannus_melancholicus_melancholicus"
